{ Id = 1, UserId = 29, FirstName = rew, LastName = wer, ActionType = LoginFailed, DateTime = 02/09/2022 16:35:34 }

{ Id = 2, UserId = 30, FirstName = ty, LastName = r, ActionType = LoginFailed, DateTime = 02/09/2022 16:39:57 }

{ Id = 10, UserId = 32, FirstName = Aka, LastName = makA, ActionType = Register, DateTime = 02/09/2022 19:47:11 }

{ Id = 11, UserId = 33, FirstName = trop, LastName = ptro, ActionType = Register, DateTime = 02/09/2022 19:52:44 }

{ Id = 12, UserId = 34, FirstName = Berko, LastName = Witch, ActionType = Register, DateTime = 02/09/2022 20:07:35 }

{ Id = 13, UserId = 34, FirstName = Berko, LastName = Witch, ActionType = Login, DateTime = 02/09/2022 20:07:48 }

{ Id = 14, UserId = 35, FirstName = wer, LastName = erw, ActionType = Register, DateTime = 02/09/2022 20:28:29 }

{ Id = 15, UserId = 36, FirstName = ty, LastName = ty, ActionType = Register, DateTime = 02/09/2022 20:29:40 }

{ Id = 16, UserId = 36, FirstName = ty, LastName = ty, ActionType = Login, DateTime = 02/09/2022 21:01:56 }

{ Id = 17, UserId = 36, FirstName = ty, LastName = ty, ActionType = Login, DateTime = 02/09/2022 21:07:02 }

{ Id = 18, UserId = 36, FirstName = ty, LastName = ty, ActionType = Login, DateTime = 02/09/2022 21:29:54 }

{ Id = 19, UserId = 36, FirstName = ty, LastName = ty, ActionType = Login, DateTime = 02/09/2022 21:35:13 }

{ Id = 20, UserId = 37, FirstName = Mu, LastName = Yokozuna, ActionType = Register, DateTime = 02/09/2022 22:34:15 }

{ Id = 21, UserId = 37, FirstName = Mu, LastName = Yokozuna, ActionType = Login, DateTime = 02/09/2022 22:34:35 }

{ Id = 22, UserId = 41, FirstName = NO_USER, LastName = NO_USER, ActionType = Crush, DateTime = 04/09/2022 13:36:39 }

{ Id = 23, UserId = 41, FirstName = NO_USER, LastName = NO_USER, ActionType = Crush, DateTime = 04/09/2022 13:36:59 }

{ Id = 24, UserId = 41, FirstName = NO_USER, LastName = NO_USER, ActionType = Crush, DateTime = 04/09/2022 13:46:05 }

{ Id = 25, UserId = 41, FirstName = NO_USER, LastName = NO_USER, ActionType = StartUp, DateTime = 04/09/2022 13:46:05 }

{ Id = 26, UserId = 41, FirstName = NO_USER, LastName = NO_USER, ActionType = Crush, DateTime = 04/09/2022 13:46:30 }

{ Id = 27, UserId = 41, FirstName = NO_USER, LastName = NO_USER, ActionType = StartUp, DateTime = 04/09/2022 13:46:30 }

{ Id = 28, UserId = 41, FirstName = NO_USER, LastName = NO_USER, ActionType = Crush, DateTime = 04/09/2022 13:48:22 }

{ Id = 29, UserId = 41, FirstName = NO_USER, LastName = NO_USER, ActionType = StartUp, DateTime = 04/09/2022 13:48:22 }

{ Id = 30, UserId = 41, FirstName = NO_USER, LastName = NO_USER, ActionType = Exit, DateTime = 04/09/2022 13:48:23 }

{ Id = 31, UserId = 41, FirstName = NO_USER, LastName = NO_USER, ActionType = StartUp, DateTime = 04/09/2022 13:50:30 }

{ Id = 32, UserId = 41, FirstName = NO_USER, LastName = NO_USER, ActionType = Exit, DateTime = 04/09/2022 13:50:31 }

{ Id = 33, UserId = 41, FirstName = NO_USER, LastName = NO_USER, ActionType = StartUp, DateTime = 04/09/2022 13:51:19 }

{ Id = 34, UserId = 41, FirstName = NO_USER, LastName = NO_USER, ActionType = Exit, DateTime = 04/09/2022 13:51:20 }

{ Id = 35, UserId = 41, FirstName = NO_USER, LastName = NO_USER, ActionType = StartUp, DateTime = 04/09/2022 13:51:58 }

{ Id = 36, UserId = 41, FirstName = NO_USER, LastName = NO_USER, ActionType = Exit, DateTime = 04/09/2022 13:51:59 }

{ Id = 37, UserId = 41, FirstName = NO_USER, LastName = NO_USER, ActionType = StartUp, DateTime = 04/09/2022 13:52:56 }

{ Id = 38, UserId = 41, FirstName = NO_USER, LastName = NO_USER, ActionType = Exit, DateTime = 04/09/2022 13:52:57 }

{ Id = 39, UserId = 41, FirstName = NO_USER, LastName = NO_USER, ActionType = StartUp, DateTime = 04/09/2022 13:53:25 }

{ Id = 40, UserId = 41, FirstName = NO_USER, LastName = NO_USER, ActionType = Exit, DateTime = 04/09/2022 13:53:26 }

{ Id = 41, UserId = 41, FirstName = NO_USER, LastName = NO_USER, ActionType = StartUp, DateTime = 04/09/2022 13:58:04 }

{ Id = 42, UserId = 41, FirstName = NO_USER, LastName = NO_USER, ActionType = Exit, DateTime = 04/09/2022 13:58:05 }

{ Id = 43, UserId = 41, FirstName = NO_USER, LastName = NO_USER, ActionType = StartUp, DateTime = 04/09/2022 13:58:50 }

{ Id = 44, UserId = 41, FirstName = NO_USER, LastName = NO_USER, ActionType = Exit, DateTime = 04/09/2022 13:58:51 }

{ Id = 45, UserId = 42, FirstName = Joee, LastName = Montana, ActionType = Register, DateTime = 04/09/2022 15:46:48 }

{ Id = 46, UserId = 41, FirstName = NO_USER, LastName = NO_USER, ActionType = Crush, DateTime = 04/09/2022 15:47:16 }

{ Id = 47, UserId = 41, FirstName = NO_USER, LastName = NO_USER, ActionType = StartUp, DateTime = 04/09/2022 15:47:16 }

{ Id = 48, UserId = 41, FirstName = NO_USER, LastName = NO_USER, ActionType = Exit, DateTime = 04/09/2022 15:47:17 }

{ Id = 49, UserId = 41, FirstName = NO_USER, LastName = NO_USER, ActionType = StartUp, DateTime = 04/09/2022 15:47:34 }

{ Id = 50, UserId = 41, FirstName = NO_USER, LastName = NO_USER, ActionType = Exit, DateTime = 04/09/2022 15:47:35 }

{ Id = 51, UserId = 42, FirstName = Joee, LastName = Montana, ActionType = Login, DateTime = 04/09/2022 15:52:01 }

{ Id = 52, UserId = 42, FirstName = Joee, LastName = Montana, ActionType = Login, DateTime = 04/09/2022 15:52:25 }

{ Id = 53, UserId = 42, FirstName = Joee, LastName = Montana, ActionType = Login, DateTime = 04/09/2022 15:53:48 }

{ Id = 54, UserId = 41, FirstName = NO_USER, LastName = NO_USER, ActionType = Crush, DateTime = 04/09/2022 15:53:48 }

{ Id = 55, UserId = 41, FirstName = NO_USER, LastName = NO_USER, ActionType = StartUp, DateTime = 04/09/2022 15:53:48 }

{ Id = 56, UserId = 41, FirstName = NO_USER, LastName = NO_USER, ActionType = Exit, DateTime = 04/09/2022 15:53:59 }

{ Id = 57, UserId = 41, FirstName = NO_USER, LastName = NO_USER, ActionType = StartUp, DateTime = 04/09/2022 16:00:11 }

{ Id = 58, UserId = 41, FirstName = NO_USER, LastName = NO_USER, ActionType = Exit, DateTime = 04/09/2022 16:00:12 }

{ Id = 59, UserId = 42, FirstName = Joee, LastName = Montana, ActionType = Login, DateTime = 04/09/2022 16:08:08 }

{ Id = 60, UserId = 41, FirstName = NO_USER, LastName = NO_USER, ActionType = Crush, DateTime = 04/09/2022 16:08:15 }

{ Id = 61, UserId = 41, FirstName = NO_USER, LastName = NO_USER, ActionType = StartUp, DateTime = 04/09/2022 16:08:15 }

{ Id = 62, UserId = 41, FirstName = NO_USER, LastName = NO_USER, ActionType = Exit, DateTime = 04/09/2022 16:08:19 }

{ Id = 63, UserId = 42, FirstName = Joee, LastName = Montana, ActionType = Login, DateTime = 04/09/2022 16:12:07 }

{ Id = 64, UserId = 41, FirstName = NO_USER, LastName = NO_USER, ActionType = Crush, DateTime = 04/09/2022 16:12:09 }

{ Id = 65, UserId = 41, FirstName = NO_USER, LastName = NO_USER, ActionType = StartUp, DateTime = 04/09/2022 16:12:09 }

{ Id = 66, UserId = 41, FirstName = NO_USER, LastName = NO_USER, ActionType = Exit, DateTime = 04/09/2022 16:12:10 }

{ Id = 67, UserId = 41, FirstName = NO_USER, LastName = NO_USER, ActionType = StartUp, DateTime = 04/09/2022 16:14:00 }

{ Id = 68, UserId = 41, FirstName = NO_USER, LastName = NO_USER, ActionType = Exit, DateTime = 04/09/2022 16:14:01 }

{ Id = 69, UserId = 42, FirstName = Joee, LastName = Montana, ActionType = Login, DateTime = 04/09/2022 16:15:01 }

{ Id = 70, UserId = 41, FirstName = NO_USER, LastName = NO_USER, ActionType = Crush, DateTime = 04/09/2022 16:15:02 }

{ Id = 71, UserId = 41, FirstName = NO_USER, LastName = NO_USER, ActionType = StartUp, DateTime = 04/09/2022 16:15:02 }

{ Id = 72, UserId = 41, FirstName = NO_USER, LastName = NO_USER, ActionType = Exit, DateTime = 04/09/2022 16:15:03 }

{ Id = 73, UserId = 42, FirstName = Joee, LastName = Montana, ActionType = Login, DateTime = 04/09/2022 16:16:01 }

{ Id = 74, UserId = 41, FirstName = NO_USER, LastName = NO_USER, ActionType = Crush, DateTime = 04/09/2022 16:16:03 }

{ Id = 75, UserId = 41, FirstName = NO_USER, LastName = NO_USER, ActionType = StartUp, DateTime = 04/09/2022 16:16:03 }

{ Id = 76, UserId = 41, FirstName = NO_USER, LastName = NO_USER, ActionType = Exit, DateTime = 04/09/2022 16:16:06 }

{ Id = 77, UserId = 42, FirstName = Joee, LastName = Montana, ActionType = Login, DateTime = 04/09/2022 16:18:20 }

{ Id = 78, UserId = 41, FirstName = NO_USER, LastName = NO_USER, ActionType = Crush, DateTime = 04/09/2022 16:18:22 }

{ Id = 79, UserId = 41, FirstName = NO_USER, LastName = NO_USER, ActionType = StartUp, DateTime = 04/09/2022 16:18:22 }

{ Id = 80, UserId = 41, FirstName = NO_USER, LastName = NO_USER, ActionType = Exit, DateTime = 04/09/2022 16:18:24 }

{ Id = 81, UserId = 41, FirstName = NO_USER, LastName = NO_USER, ActionType = Crush, DateTime = 04/09/2022 17:22:07 }

{ Id = 82, UserId = 41, FirstName = NO_USER, LastName = NO_USER, ActionType = StartUp, DateTime = 04/09/2022 17:22:07 }

